Movie Name,Release Date,Rating,Director,Link
Apocalypse Now,1979,8.4,Hayao Miyazaki,https://www.imdb.com/title/tt0245429/?ref_=adv_li_tt
The Great Dictator,1940,8.4,Frank Darabont,https://www.imdb.com/title/tt0120689/?ref_=adv_li_tt
The Lives of Others,2006,8.4,Frank Darabont,https://www.imdb.com/title/tt0120689/?ref_=adv_li_tt
Django Unchained,2012,8.4,Luc Besson,https://www.imdb.com/title/tt0110413/?ref_=adv_li_tt
Avengers: Infinity War,2018,8.4,Luc Besson,https://www.imdb.com/title/tt0110413/?ref_=adv_li_tt
Spider-Man: Into the Spider-Verse,2018,8.4,Christopher Nolan,https://www.imdb.com/title/tt0816692/?ref_=adv_li_tt
The Shining,1980,8.4,Christopher Nolan,https://www.imdb.com/title/tt0816692/?ref_=adv_li_tt
Paths of Glory,1957,8.4,Masaki Kobayashi,https://www.imdb.com/title/tt0056058/?ref_=adv_li_tt
Gisaengchung,2019,8.4,Masaki Kobayashi,https://www.imdb.com/title/tt0056058/?ref_=adv_li_tt
WALL·E,2008,8.4,Bryan Singer,https://www.imdb.com/title/tt0114814/?ref_=adv_li_tt
Mononoke-hime,1997,8.4,Bryan Singer,https://www.imdb.com/title/tt0114814/?ref_=adv_li_tt
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,"Roger Allers, Rob Minkoff",https://www.imdb.com/title/tt0110357/?ref_=adv_li_tt
Sunset Blvd.,1950,8.4,"Roger Allers, Rob Minkoff",https://www.imdb.com/title/tt0110357/?ref_=adv_li_tt
Oldeuboi,2003,8.3,Tony Kaye,https://www.imdb.com/title/tt0120586/?ref_=adv_li_tt
Witness for the Prosecution,1957,8.3,Tony Kaye,https://www.imdb.com/title/tt0120586/?ref_=adv_li_tt
The Dark Knight Rises,2012,8.3,Robert Zemeckis,https://www.imdb.com/title/tt0088763/?ref_=adv_li_tt
Once Upon a Time in America,1984,8.3,Robert Zemeckis,https://www.imdb.com/title/tt0088763/?ref_=adv_li_tt
Aliens,1986,8.3,Roman Polanski,https://www.imdb.com/title/tt0253474/?ref_=adv_li_tt
American Beauty,1999,8.3,Roman Polanski,https://www.imdb.com/title/tt0253474/?ref_=adv_li_tt
Coco,2017,8.3,Charles Chaplin (as Charlie Chaplin),https://www.imdb.com/title/tt0027977/?ref_=adv_li_tt
Kimi no na wa.,2016,8.3,Charles Chaplin (as Charlie Chaplin),https://www.imdb.com/title/tt0027977/?ref_=adv_li_tt
Braveheart,1995,8.3,James Cameron,https://www.imdb.com/title/tt0103064/?ref_=adv_li_tt
Das Boot,1981,8.3,James Cameron,https://www.imdb.com/title/tt0103064/?ref_=adv_li_tt
3 Idiots,2009,8.3,"Olivier Nakache, Éric Toledano",https://www.imdb.com/title/tt1675434/?ref_=adv_li_tt
Taare Zameen Par,2007,8.3,"Olivier Nakache, Éric Toledano",https://www.imdb.com/title/tt1675434/?ref_=adv_li_tt
Star Wars: Episode VI - Return of the Jedi,1983,8.3,Alfred Hitchcock,https://www.imdb.com/title/tt0054215/?ref_=adv_li_tt
Toy Story,1995,8.3,Alfred Hitchcock,https://www.imdb.com/title/tt0054215/?ref_=adv_li_tt
Reservoir Dogs,1992,8.3,Ridley Scott,https://www.imdb.com/title/tt0172495/?ref_=adv_li_tt
Amadeus,1984,8.3,Ridley Scott,https://www.imdb.com/title/tt0172495/?ref_=adv_li_tt
Dangal,2016,8.3,Charles Chaplin,https://www.imdb.com/title/tt0021749/?ref_=adv_li_tt
Inglourious Basterds,2009,8.3,Charles Chaplin,https://www.imdb.com/title/tt0021749/?ref_=adv_li_tt
Good Will Hunting,1997,8.3,Martin Scorsese,https://www.imdb.com/title/tt0407887/?ref_=adv_li_tt
M - Eine Stadt sucht einen Mörder,1931,8.3,Martin Scorsese,https://www.imdb.com/title/tt0407887/?ref_=adv_li_tt
Requiem for a Dream,2000,8.3,Damien Chazelle,https://www.imdb.com/title/tt2582802/?ref_=adv_li_tt
2001: A Space Odyssey,1968,8.3,Damien Chazelle,https://www.imdb.com/title/tt2582802/?ref_=adv_li_tt
Vertigo,1958,8.3,Sergio Leone,https://www.imdb.com/title/tt0064116/?ref_=adv_li_tt
Eternal Sunshine of the Spotless Mind,2004,8.3,Sergio Leone,https://www.imdb.com/title/tt0064116/?ref_=adv_li_tt
Citizen Kane,1941,8.3,Christopher Nolan,https://www.imdb.com/title/tt0482571/?ref_=adv_li_tt
Jagten,2012,8.3,Christopher Nolan,https://www.imdb.com/title/tt0482571/?ref_=adv_li_tt
Full Metal Jacket,1987,8.3,Michael Curtiz,https://www.imdb.com/title/tt0034583/?ref_=adv_li_tt
North by Northwest,1959,8.3,Michael Curtiz,https://www.imdb.com/title/tt0034583/?ref_=adv_li_tt
A Clockwork Orange,1971,8.3,"Anthony Russo, Joe Russo",https://www.imdb.com/title/tt4154796/?ref_=adv_li_tt
Snatch,2000,8.3,"Anthony Russo, Joe Russo",https://www.imdb.com/title/tt4154796/?ref_=adv_li_tt
The Kid,1921,8.2,Isao Takahata,https://www.imdb.com/title/tt0095327/?ref_=adv_li_tt
Amélie,2001,8.2,Isao Takahata,https://www.imdb.com/title/tt0095327/?ref_=adv_li_tt
Ladri di biciclette,1948,8.2,Alfred Hitchcock,https://www.imdb.com/title/tt0047396/?ref_=adv_li_tt
Scarface,1983,8.2,Alfred Hitchcock,https://www.imdb.com/title/tt0047396/?ref_=adv_li_tt
Singin' in the Rain,1952,8.2,Giuseppe Tornatore,https://www.imdb.com/title/tt0095765/?ref_=adv_li_tt
Lawrence of Arabia,1962,8.2,Giuseppe Tornatore,https://www.imdb.com/title/tt0095765/?ref_=adv_li_tt
Taxi Driver,1976,8.2,Ridley Scott,https://www.imdb.com/title/tt0078748/?ref_=adv_li_tt
Toy Story 3,2010,8.2,Ridley Scott,https://www.imdb.com/title/tt0078748/?ref_=adv_li_tt
The Sting,1973,8.2,Steven Spielberg,https://www.imdb.com/title/tt0082971/?ref_=adv_li_tt
Metropolis,1927,8.2,Steven Spielberg,https://www.imdb.com/title/tt0082971/?ref_=adv_li_tt
Per qualche dollaro in più,1965,8.2,Christopher Nolan,https://www.imdb.com/title/tt0209144/?ref_=adv_li_tt
Ikiru,1952,8.2,Christopher Nolan,https://www.imdb.com/title/tt0209144/?ref_=adv_li_tt
